"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Random Forest","no","no","no","46.0","10.0","190.0","64.0","0.8214285714285714","0.41818181818181815","0.8072272727272727","0.4138988247317321"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Naive Bayes","no","no","no","24.0","3.0","197.0","86.0","0.8888888888888888","0.21818181818181817","0.8258636363636364","0.24473035860936215"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","IBk","no","no","no","21.0","7.0","193.0","89.0","0.75","0.19090909090909092","0.6806818181818182","0.18732932823593665"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Random Forest","no","yes","no","44.0","10.0","190.0","66.0","0.8148148148148148","0.4","0.8","0.39527720739219724"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Naive Bayes","no","yes","no","30.0","4.0","196.0","80.0","0.8823529411764706","0.2727272727272727","0.8258636363636364","0.2992465016146392"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","IBk","no","yes","no","21.0","7.0","193.0","89.0","0.75","0.19090909090909092","0.6806818181818182","0.18732932823593665"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Random Forest","no","no","yes","1.0","0.0","200.0","109.0","1.0","0.00909090909090909","0.7595909090909091","0.0116993272886811"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Naive Bayes","no","no","yes","23.0","3.0","197.0","87.0","0.8846153846153846","0.20909090909090908","0.8258636363636364","0.23435784851811206"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","IBk","no","no","yes","21.0","7.0","193.0","89.0","0.75","0.19090909090909092","0.6806818181818182","0.18732932823593665"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Random Forest","no","yes","yes","1.0","0.0","200.0","109.0","1.0","0.00909090909090909","0.7987954545454545","0.0116993272886811"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","Naive Bayes","no","yes","yes","27.0","4.0","196.0","83.0","0.8709677419354839","0.24545454545454545","0.8258636363636364","0.2689075630252102"
"bookkeeper","1","0.019312544","0.44954127","0.3548387","IBk","no","yes","yes","21.0","7.0","193.0","89.0","0.75","0.19090909090909092","0.6806818181818182","0.18732932823593665"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","Random Forest","no","no","no","63.0","38.0","200.0","9.0","0.6237623762376238","0.875","0.9102474323062558","0.6272322570741442"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","Naive Bayes","no","no","no","24.0","3.0","235.0","48.0","0.8888888888888888","0.3333333333333333","0.836280345471522","0.4101186478620997"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","IBk","no","no","no","61.0","37.0","201.0","11.0","0.6224489795918368","0.8472222222222222","0.8866713352007469","0.6143878926091013"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","Random Forest","no","yes","no","62.0","38.0","200.0","10.0","0.62","0.8611111111111112","0.9228524743230626","0.617677286742035"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","Naive Bayes","no","yes","no","28.0","12.0","226.0","44.0","0.7","0.3888888888888889","0.8161472922502334","0.4005524861878452"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","IBk","no","yes","no","61.0","35.0","203.0","11.0","0.6354166666666666","0.8472222222222222","0.8909897292250234","0.6272480133835214"
"bookkeeper","2","0.046775337","0.3939394","0.23225807","Random Forest","no","no","yes","31.0","7.0","231.0","41.0","0.8157894736842105","0.4305555555555556","0.9166083099906629","0.48022914629034524"
