"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Random Forest","No","no","no","5.0","22.0","141.0","0.0","0.18518518518518517","1.0","0.9214723926380368","0.27614571092831997"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Naive Bayes","No","no","no","2.0","17.0","146.0","3.0","0.10526315789473684","0.4","0.7950920245398773","0.1254554919312858"
"zookeeper","1","0.010335438","0.1736527","0.029761905","IBk","No","no","no","5.0","22.0","141.0","0.0","0.18518518518518517","1.0","0.9325153374233128","0.27614571092831997"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Random Forest","No","yes","no","2.0","12.0","151.0","3.0","0.14285714285714285","0.4","0.7386503067484662","0.17431192660550404"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Naive Bayes","No","yes","no","2.0","12.0","151.0","3.0","0.14285714285714285","0.4","0.7104294478527607","0.17431192660550404"
"zookeeper","1","0.010335438","0.1736527","0.029761905","IBk","No","yes","no","2.0","12.0","151.0","3.0","0.14285714285714285","0.4","0.7386503067484662","0.17431192660550404"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Random Forest","No","no","yes","0.0","1.0","162.0","5.0","0.0","0.0","0.9147239263803681","-0.010020040080161195"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Naive Bayes","No","no","yes","0.0","7.0","156.0","5.0","0.0","0.0","0.7950920245398773","-0.03597122302158262"
"zookeeper","1","0.010335438","0.1736527","0.029761905","IBk","No","no","yes","5.0","22.0","141.0","0.0","0.18518518518518517","1.0","0.9325153374233128","0.27614571092831997"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Random Forest","No","yes","yes","0.0","0.0","163.0","5.0","NaN","0.0","0.7386503067484662","0.0"
"zookeeper","1","0.010335438","0.1736527","0.029761905","Naive Bayes","No","yes","yes","0.0","0.0","163.0","5.0","NaN","0.0","0.7104294478527607","0.0"
"zookeeper","1","0.010335438","0.1736527","0.029761905","IBk","No","yes","yes","0.0","0.0","163.0","5.0","NaN","0.0","0.7386503067484662","0.0"
"zookeeper","2","0.020732764","0.10149254","0.029761905","Random Forest","No","no","no","5.0","3.0","160.0","0.0","0.625","1.0","1.0","0.7604562737642581"
"zookeeper","2","0.020732764","0.10149254","0.029761905","Naive Bayes","No","no","no","2.0","10.0","153.0","3.0","0.16666666666666666","0.4","0.7950920245398773","0.20175438596491327"
"zookeeper","2","0.020732764","0.10149254","0.029761905","IBk","No","no","no","5.0","0.0","163.0","0.0","1.0","1.0","1.0","1.0"
