release,class_name,size,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,buggy
1,zookeeper/java/src/com/yahoo/jute/BinaryInputArchive.java,78,12,1,1,10,10,10,10,10,no
1,zookeeper/java/src/com/yahoo/jute/BinaryOutputArchive.java,70,54,1,1,1,1,1,1,1,no
1,zookeeper/java/src/com/yahoo/jute/CsvInputArchive.java,161,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/CsvOutputArchive.java,104,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/Index.java,5,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/InputArchive.java,20,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/OutputArchive.java,23,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/Record.java,8,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/RecordReader.java,57,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/RecordWriter.java,75,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/Utils.java,188,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/XmlInputArchive.java,194,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/XmlOutputArchive.java,196,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/CGenerator.java,37,9,2,1,4,4,2,4,4,no
1,zookeeper/java/src/com/yahoo/jute/compiler/CppGenerator.java,37,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JBoolean.java,15,2,1,1,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JBuffer.java,72,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JByte.java,9,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JCompType.java,24,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JDouble.java,13,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JField.java,57,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JFile.java,32,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JFloat.java,12,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JInt.java,9,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JLong.java,12,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JMap.java,64,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JRecord.java,437,16,2,2,2,2,1,2,2,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JString.java,19,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JType.java,94,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JVector.java,67,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/JavaGenerator.java,22,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/ParseException.java,110,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/Rcc.java,471,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/RccConstants.java,64,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/RccTokenManager.java,807,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/SimpleCharStream.java,353,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/jute/compiler/generated/Token.java,19,0,0,0,0,0,0,0,0,no
